deputado;partido;UF;n_ocorrencias
Julio Lopes (PP-RJ);PP;RJ;1
Leonardo Picciani (PMDB-RJ);PMDB;RJ;1
Luiz Carlos Ramos (PTN-RJ);PTN;RJ;0
Luiz Sérgio (PT-RJ);PT;RJ;1
Marcelo Matos (PHS-RJ);PHS;RJ;1
Marco Antônio Cabral (PMDB-RJ);PMDB;RJ;0
Marcos Soares (DEM-RJ);DEM;RJ;2
Miro Teixeira (REDE-RJ);REDE;RJ;0
Otavio Leite (PSDB-RJ);PSDB;RJ;1
Paulo Feijó (PR-RJ);PR;RJ;3
Pedro Paulo (PMDB-RJ);PMDB;RJ;2
Roberto Sales (PRB-RJ);PRB;RJ;0
Rodrigo Maia (DEM-RJ);DEM;RJ;0
Rosangela Gomes (PRB-RJ);PRB;RJ;0
Sérgio Zveiter;PMDB;RJ;0
Simão Sessim (PP-RJ);PP;RJ;2
Soraya Santos (PMDB-RJ);PMDB;RJ;0
Sóstenes Cavalcante (DEM-RJ);DEM;RJ;0
Wadih Damous (PT-RJ);PT;RJ;0
Washington Reis (PMDB-RJ);PMDB;RJ;30
Carlos Manato (SD-ES);SD;ES;0
Dr. Jorge Silva (PHS-ES);PHS;ES;0
Evair de Melo (PV-ES);PV;ES;0
Givaldo Vieira (PT-ES);PT;ES;0
Helder Salomão (PT-ES);PT;ES;4
Lelo Coimbra (PMDB-ES);PMDB;ES;1
Marcus Vicente (PP-ES);PP;ES;4
Max Filho (PSDB-ES);PSDB;ES;7
Paulo Foletto (PSB-ES);PSB;ES;1
Sergio Vidigal (PDT-ES);PDT;ES;9
Assis Carvalho (PT-PI);PT;PI;10
Átila Lira (PSB-PI);PSB;PI;4
Capitão Fábio Abreu;PTB;PI;0
Heráclito Fortes (PSB-PI);PSB;PI;2
Iracema Portella (PP-PI);PP;PI;4
Júlio Cesar (PSD-PI);PSD;PI;3
Marcelo Castro (PMDB-PI);PMDB;PI;1
Paes Landim (PTB-PI);PTB;PI;4
Rejane Dias (PT-PI);PT;PI;0
Rodrigo Martins (PSB-PI);PSB;PI;0
Antônio Jácome (PTN-RN);PTN;RN;0
Beto Rosado (PP-RN);PP;RN;1
Fábio Faria (PSD-RN);PSD;RN;1
Felipe Maia (DEM-RN);DEM;RN;0
Rafael Motta (PSB-RN);PSB;RN;0
Rogério Marinho (PSDB-RN);PSDB;RN;2
Walter Alves (PMDB-RN);PMDB;RN;0
Zenaide Maia (PR-RN);PR;RN;0
Adelmo Carneiro Leão (PT-MG);PT;MG;1
Aelton Freitas (PR-MG);PR;MG;13
Bilac Pinto (PR-MG);PR;MG;1
Bonifácio de Andrada (PSDB-MG);PSDB;MG;3
Brunny (PR-MG);PR;MG;0
Caio Narcio (PSDB-MG);PSDB;MG;1
Carlos Melles (DEM-MG);DEM;MG;2
Dâmina Pereira (PSL-MG);PSL;MG;0
Delegado Edson Moreira (PR-MG);PR;MG;5
Diego Andrade (PSD-MG);PSD;MG;3
Dimas Fabiano (PP-MG);PP;MG;0
Domingos Sávio (PSDB-MG);PSDB;MG;2
Eduardo Barbosa (PSDB-MG);PSDB;MG;1
Eros Biondini (PROS-MG);PROS;MG;0
Fábio Ramalho (PMDB-MG);PMDB;MG;1
Franklin Lima (PP-MG);PP;MG;1
Gabriel Guimarães (PT-MG);PT;MG;0
George Hilton (PROS-MG);PROS;MG;0
Jaime Martins (PSD-MG);PSD;MG;0
Jô Moraes (PC do B-MG);PCdoB;MG;0
Júlio Delgado (PSB-MG);PSB;MG;0
Laudivio Carvalho (SD-MG);SD;MG;0
Leonardo Monteiro (PT-MG);PT;MG;1
Leonardo Quintão (PMDB-MG);PMDB;MG;1
Lincoln Portela (PRB-MG);PRB;MG;2
Luis Tibé (PT do B-MG);PTdoB;MG;6
Luiz Fernando Faria (PP-MG);PP;MG;1
Marcelo Álvaro Antônio (PR-MG);PR;MG;0
Marcelo Aro (PHS-MG);PHS;MG;0
